,city,cloudiness,country,humidity,lat,temp,wind
332,iranduba,40,br,55,-3.28,89.59999999999997,1.5
333,san pedro,68,bo,100,-16.24,47.881399999999985,2.77
334,saint-philippe,0,re,72,-21.36,69.80000000000001,7.2
335,sibiti,32,cg,84,-3.68,75.06139999999988,2.17
336,den helder,90,nl,100,52.96,60.80000000000001,2.6
337,kargasok,32,ru,77,59.06,41.311399999999935,3.02
338,leticia,75,co,74,-4.22,85.99999999999994,2.1
339,hualmay,20,pe,66,-11.1,68.76139999999992,2.72
340,arlit,12,ne,32,18.74,82.71139999999997,2.37
341,northampton,90,us,63,42.33,69.80000000000001,4.6
342,east london,0,za,100,-33.02,66.06139999999988,3.07
343,gat,75,ly,87,60.15,51.799999999999955,3.1
344,ostersund,88,se,93,63.18,46.39999999999998,2.6
345,saint-georges,0,gf,48,3.9,86.6714,3.72
346,bani,75,do,74,18.28,85.99999999999994,3.1
347,dolbeau,75,ca,93,48.88,57.19999999999999,3.1
348,paamiut,92,gl,96,61.99,40.50139999999999,0.07
349,inongo,76,cd,94,-1.95,73.26139999999992,0.67
350,touros,0,br,77,-5.2,78.6613999999999,7.92
351,san luis,12,ar,69,-33.3,64.8014,5.72
352,gikongoro,48,rw,93,-2.46,54.81139999999988,0.72
353,puerto leguizamo,36,co,69,-0.19,86.49139999999994,1.22
354,santiago de cao,0,pe,72,-7.96,67.99999999999994,5.7
355,gravdal,0,no,93,68.12,54.901400000000024,7.87
356,manzil bu zalafah,0,tn,64,36.68,73.39999999999992,1.5
357,disna,44,by,86,55.57,52.29139999999995,3.37
358,bukan,0,ir,76,36.52,51.3014,1.12
359,semnan,12,ir,65,35.57,67.6814,3.22
360,rohatyn,0,ua,100,49.41,48.19999999999999,1.17
361,harindanga,40,in,88,22.04,82.39999999999992,4.1
362,dhangadhi,0,np,86,28.71,73.98139999999995,1.42
363,clyde river,75,ca,64,70.47,39.19999999999999,6.2
364,temiscaming,75,ca,58,46.72,53.599999999999966,5.1
365,tornio,90,fi,93,65.85,48.19999999999999,4.6
366,okandja,64,ga,85,-0.65,75.87140000000005,1.07
367,saint-ambroise,75,ca,93,48.55,60.80000000000001,3.1
368,triolet,75,mu,56,-20.05,73.39999999999992,7.2
